LocationID,ApogeeID
212,5051,2M03500445-1108251
213,5051,2M03511180-0938133
214,4259,2M03512664+2504369
215,5162,2M03521852+2451334
216,4152,2M03522636+4916273
217,5162,2M03523764+2444550
218,2303,2M03531784-0517434
219,4152,2M03533092+4916585
220,4205,2M03534224+8002056
221,5051,2M03534283-1049320
222,5162,2M03534382+2413287
223,5162,2M03540675+2420015
224,5162,2M03542795+2350075
225,5051,2M03543243-1035133
226,4152,2M03560117+5003253
227,4205,2M03560878+7840523
228,5162,2M03561202+2403212
229,2303,2M03571705-0436288
230,5145,2M03575528+1051182
231,2303,2M03583456-0611539
232,4151,2M03583785+5213445
233,2303,2M03584247-0521516
234,2303,2M03585244-0531561
235,5145,2M03591349+1131292
236,5162,2M03593006+2420101
237,5145,2M03595389+1218362
238,4151,2M04010057+5344109
239,5162,2M04014394+2507238
240,5162,2M04014490+2556007
241,5145,2M04014806+1027576
242,4151,2M04015510+5336178
243,2097,2M04041108-0536229
244,4151,2M04043545+5153371
245,2097,2M04051669-0510113
246,5103,2M04052852+3736385
247,5145,2M04053766+1136139
248,5145,2M04061897+1042099
249,2097,2M04071794-0704285
250,5161,2M04084893+2326118
251,2097,2M04114902-0514135
252,5161,2M04122244+2422419
253,5161,2M04125121+2441442
254,5057,2M04131512+6703558
255,5102,2M04135110+4938317
256,5161,2M04142584+2414350
257,5161,2M04152483+2358568
258,4556,2M04173043+4406020
259,4153,2M04182393+5423539
260,4153,2M04202800+5505348
261,4153,2M04215749+5410526
262,5149,2M04222563+5933026
263,5160,2M04231198+1730112
264,5160,2M04235666+1838201
265,4153,2M04242736+5458531
266,5160,2M04242753+1813355
267,5160,2M04243058+1859131
268,5160,2M04243847+1858385
269,5160,2M04253099+1932105
270,5160,2M04265461+1758330
271,5082,2M04273190+3058238
272,4325,2M04300665+3520323
273,4325,2M04315155+3522530
274,5148,2M04320745+0008492
275,5148,2M04361973+0047410
276,5148,2M04363658+0043304
277,4325,2M04393682+3553432
278,4121,2M04403913+5740339
279,4121,2M04430417+5900251
280,4257,2M04435712+3901413
281,4121,2M04452494+5703088
282,4597,2M04460281+2832101
283,4257,2M04475318+3844458
284,4257,2M04485954+3749255
285,4555,2M04491848+4954075
286,5065,2M04503647+4519494
287,4121,2M04511439+5747361
288,4257,2M04515425+3915070
289,4257,2M04523015+3925462
290,4121,2M04533610+5803507
291,4272,2M04594994+4041082
292,4560,2M04595013+3638144
293,4555,2M05003852+4942070
294,5106,2M05005339+2303102
295,5106,2M05011401+2230159
296,4272,2M05022965+4142533
297,5106,2M05024263+2151091
298,5106,2M05064830+2150468
299,5081,2M05084082+4901522
300,5066,2M05100774+3847136
301,4122,2M05105162+2513182
302,4122,2M05145873+2516078
303,5114,2M05160474+2443207
304,4122,2M05162317+2312004
305,5081,2M05165388+4928208
306,4598,2M05172551+1446132
307,4122,2M05175081+2458194
308,5114,2M05181194+2313541
309,4145,2M05190968+4415144
310,4562,2M05194502+2905511
311,4122,2M05195099+2443435
312,4122,2M05195578+2426594
313,5114,2M05201197+2417083
314,5085,2M05212181+1250396
315,5114,2M05212511+2358317
316,5175,2M05224331+0328389
317,5175,2M05224790+0241315
318,4145,2M05224865+4246159
319,4562,2M05240556+2947008
320,4592,2M05245445+3821524
321,4155,2M05254800+2740009
322,5175,2M05265958+0246583
323,5170,2M05273724+1125497
324,4155,2M05275009+2740351
325,5175,2M05280884+0403101
326,4145,2M05284223+4359528
327,4155,2M05284986+2645461
328,5170,2M05285853+1045376
329,4321,2M05291630+3549565
330,4321,2M05292628+3555070
331,4155,2M05304951+2532292
332,5170,2M05305169+1208367
333,5169,2M05310482+1034560
334,5170,2M05312170+1202351
335,4155,2M05312674+2759565
336,4593,2M05313658+3216487
337,5175,2M05313758+0226397
338,5169,2M05315531+1023459
339,5169,2M05321308+1112494
340,5169,2M05322073+1031036
341,4611,2M05331491-0530335
342,4559,2M05334627+3958411
343,4155,2M05335529+2613300
344,4612,2M05335769-0540060
345,5169,2M05340840+1046050
346,4611,2M05341387-0536353
347,4611,2M05342386-0515403
348,4612,2M05342734-0524222
349,4613,2M05343145-0643226
350,4611,2M05343386-0556380
351,4155,2M05343393+2541331
352,4611,2M05343394-0528245
353,4612,2M05343425-0602097
354,4612,2M05343487-0611259
355,5169,2M05343516+0927492
356,4611,2M05343976-0524254
357,4611,2M05344013-0458398
358,4611,2M05344061-0443315
359,4289,2M05344507+6223530
360,4611,2M05344677-0526048
361,4612,2M05344846-0541582
362,4611,2M05344907-0526266
363,4611,2M05345086-0539292
364,4611,2M05345143-0513295
365,4613,2M05345240-0611570
366,4611,2M05345249-0449404
367,4611,2M05345259-0524037
368,4612,2M05345494-0517017
369,4611,2M05345563-0601036
370,4612,2M05345597-0529264
371,4611,2M05345701-0523000
372,4611,2M05345778-0522511
373,4611,2M05345827-0525332
374,4611,2M05350238-0515479
375,4612,2M05350292-0605252
376,4611,2M05350312-0509170
377,4611,2M05350326-0449209
378,4612,2M05350560-0518248
379,4611,2M05351002-0441169
380,4611,2M05351380-0530244
381,4611,2M05351444-0533190
382,4612,2M05351467-0539108
383,4613,2M05351580-0646291
384,4611,2M05351602-0550448
385,4613,2M05351630-0618431
386,4612,2M05351751-0517401
387,4611,2M05351754-0540483
388,4612,2M05351914-0604377
389,4611,2M05352372-0448166
390,4613,2M05352709-0645484
391,4612,2M05352750-0535194
392,4611,2M05352860-0455036
393,4612,2M05352983-0532534
394,4612,2M05353091-0518179
395,4611,2M05354077-0509015
396,4613,2M05354593-0625591
397,4611,2M05354624-0515398
398,4613,2M05355202-0610016
399,4613,2M05360828-0648363
400,4611,2M05360873-0412548
401,4155,2M05361151+2625027
402,4613,2M05363575-0642499
403,4613,2M05364204-0607061
404,4613,2M05364521-0628096
405,4593,2M05370453+3112114
406,4613,2M05370589-0647149
407,4613,2M05371190-0629169
408,5173,2M05373666-0234003
409,4613,2M05373898-0645154
410,5105,2M05375674+3145012
411,4613,2M05380417-0722044
412,4613,2M05382679-0650553
413,4326,2M05383316+4556445
414,5086,2M05383849+1552221
415,5169,2M05384174+0914342
416,5173,2M05390008-0218381
417,5080,2M05390059+5159380
418,4326,2M05391675+4539368
419,5173,2M05393511-0247299
420,4564,2M05393994+2448170
421,4564,2M05395208+2231019
422,5173,2M05400413-0323027
423,5173,2M05401082-0211264
424,4613,2M05401683-0719070
425,5173,2M05401975-0229558
426,4326,2M05402330+4617163
427,5105,2M05404374+3247570
428,5173,2M05404464-0222440
429,5169,2M05405838+1107387
430,4615,2M05412033-0815231
