LocationID,ApogeeID,Method_ID,Class,Bin%
0,5129,2M17022162-2240501,MJ,3,0.9818599838809664
1,4436,2M14283000+0917461,MJ,3,0.9351843416882888
2,4436,2M14313488+0746128,MJ,3,0.9321172803884752
3,4436,2M14323940+0814575,MJ,3,0.9569962511056488
4,4436,2M14370236+0928340,MJ,3,0.9503167926546384
5,4481,2M13393861+1856317,MJ,3,0.9238288201150096
6,4481,2M13403523+1741045,MJ,3,0.9583720495062658
7,4481,2M13430119+1948065,MJ,3,0.952934618695337
8,4481,2M13431527+1910491,MJ,3,0.9164215084239132
9,4481,2M13440326+1838577,MJ,3,0.9079899787263224
10,4481,2M13483079+1750445,MJ,3,0.954336230667201
11,4493,2M14390153+1320274,MJ,3,0.9746189071010428
12,2130,2M13374710+2247546,MJ,3,0.9282097004186702
13,2307,2M12553506+2703401,MJ,3,0.9841582239852208
14,2130,2M13374710+2247546,MJ,3,0.9681186260128912
15,4494,2M14545499+1809210,MJ,3,0.9880497676115044
16,4494,2M14551294+1816467,MJ,3,0.9073038032035932
17,2333,2M13311363+2516274,MJ,3,0.9307755441888634
18,2305,2M12553534+2703495,MJ,3,0.991202934976528
19,5203,2M18353396-0433071,MJ,3,0.9342209767889108
20,2307,2M12553506+2703401,MJ,3,0.9325064233016588
21,5182,2M15004819+2050499,MJ,3,0.981996128872778
22,5182,2M15020923+2141579,MJ,3,0.9356939348324926
23,2333,2M13311363+2516274,MJ,3,0.9937054385449438
24,2333,2M13353101+2636184,MJ,3,0.9399498160450018
25,5125,2M16080988+2233281,MJ,3,0.9893458285121809
26,5125,2M16095592+2331352,MJ,3,0.9864362745779308
27,5125,2M16103535+2438142,MJ,3,0.9607577276450696
28,5125,2M16121865+2318487,MJ,3,0.9827529633060282
29,5125,2M16170626+2401086,MJ,3,0.96723579424039
30,4495,2M15100112+2729592,MJ,3,0.991065836426037
31,2305,2M12553534+2703495,MJ,3,0.9003457223062391
32,2378,2M16264737+2621472,MJ,3,0.9445259747524132
33,2373,2M15400876+2824482,MJ,3,0.9605534956809734
34,2378,2M16264737+2621472,MJ,3,0.9536019803505033
35,2305,2M12553534+2703495,MJ,3,0.9015584908361594
36,4304,2M19532695+0342088,MJ,3,0.9512373391775087
37,2372,2M15445720+3054368,MJ,3,0.9245283961555956
38,2356,2M16191913+2946058,MJ,3,0.9000836062305965
39,2356,2M16193922+2853378,MJ,3,0.9623933079095576
40,2307,2M12553506+2703401,MJ,3,0.9218359476531698
41,5032,2M18370339+1950559,MJ,3,0.9331720878865478
42,2356,2M16191913+2946058,MJ,3,0.9279009376905396
43,4220,2M14542303+3122323,MJ,3,0.910797715168988
44,2358,2M16251787+3258030,MJ,3,0.9204821709680934
45,2370,2M15195590+3205555,MJ,3,0.9001751754250664
46,2370,2M15212326+3434557,MJ,3,0.9138987886947818
