LocationID,ApogeeID,MathodID,Classified,Bin%
0,5046,2M00000002+7417074,MV,3,0.004127006196347036
1,4264,2M00000032+5737103,MV,3,0.11047460937364068
2,4264,2M00000068+5710233,MV,3,0.003653559262420557
3,4591,2M00000211+6327470,MV,3,0.0037255598477604506
4,4264,2M00000222+5625359,MV,3,0.004106888586812386
5,4548,2M00000233+1452324,MV,3,0.8012248166440914
6,4424,2M00000317+5821383,MV,3,0.004268510495245385
7,4424,2M00000446+5854329,MV,3,0.00395460482975784
8,4548,2M00000535+1504343,MV,3,0.003865453958444617
9,5045,2M00000546+6152107,MV,3,0.004642687393699405
10,5046,2M00000662+7528598,MV,3,0.039910041818732735
11,4591,2M00000797+6436119,MV,3,0.009919252541411116
12,5047,2M00000799+7939442,MV,3,0.12008777782094698
13,4264,2M00000818+5634264,MV,3,0.004272675288543178
14,4120,2M00000866+7122144,MV,3,0.0038781599864989775
15,5045,2M00000943+6254542,MV,3,0.003817556439009422
16,5045,2M00001045+6126148,MV,3,0.008280621727587329
17,5045,2M00001071+6258172,MV,3,0.016551117597588042
18,4591,2M00001104+6348085,MV,3,0.00596507463218332
19,5045,2M00001199+6114138,MV,3,0.004818967705314353
20,4264,2M00001242+5524391,MV,3,0.006050183344676961
21,4424,2M00001296+5851378,MV,3,0.006006353272254275
22,4264,2M00001328+5725563,MV,3,0.00396373864226669
23,5045,2M00001508+6229364,MV,3,0.005307899011090572
24,4548,2M00001616+1606151,MV,3,0.013848243293138692
25,5047,2M00001638+7924440,MV,3,0.08521177940649241
26,4264,2M00001653+5540107,MV,3,0.004385633111445097
27,4424,2M00001687+5903034,MV,3,0.01021341799294595
28,4120,2M00001701+7052395,MV,3,0.11012867470683928
29,5045,2M00001717+6147500,MV,3,0.003973851457003109
30,5045,2M00001719+6221324,MV,3,0.0042961529555802696
31,4424,2M00001809+5939417,MV,3,0.0036850618127970314
32,4120,2M00001952+7026133,MV,3,0.004433805390661162
33,4591,2M00001962+6502429,MV,3,0.003742956068336496
34,4264,2M00002005+5703467,MV,3,0.003880089519950733
35,4264,2M00002012+5612368,MV,3,0.005093188874793393
36,4591,2M00002021+6302567,MV,3,0.004010605654568914
37,4591,2M00002035+6250406,MV,3,0.003699983429472347
38,5045,2M00002036+6153416,MV,3,0.004108198780052749
39,4424,2M00002039+5651114,MV,3,0.01847954131663489
40,5045,2M00002118+6136420,MV,3,0.0077150928834893735
41,4591,2M00002227+6223341,MV,3,0.00481667873668873
42,4591,2M00002338+6457409,MV,3,0.006985529971983354
43,5045,2M00002338+6141442,MV,3,0.02676284844917494
44,5045,2M00002388+6151472,MV,3,0.005819644741383719
45,4264,2M00002472+5518473,MV,3,0.004714475205120482
46,4548,2M00002504+1517108,MV,3,0.004041201703402293
47,4120,2M00002509+7040316,MV,3,0.01929066987812669
48,4264,2M00002561+5528511,MV,3,0.006913609898000888
49,5045,2M00002588+6130109,MV,3,0.01607644381063648
50,5046,2M00002596+7433383,MV,3,0.004101076152202447
51,4424,2M00002679+5920508,MV,3,0.014142605113473922
52,5045,2M00002853+6119307,MV,3,0.04256873843916188
53,4264,2M00002868+5550240,MV,3,0.005129307242236249
54,4591,2M00002903+6403157,MV,3,0.004642348467726272
55,5045,2M00002908+6140446,MV,3,0.0041726376540244066
56,4264,2M00003003+5646151,MV,3,0.003912157155439504
57,4591,2M00003030+6339074,MV,3,0.003786999889393661
58,4424,2M00003061+5820590,MV,3,0.0039030560180020523
59,4264,2M00003071+5606028,MV,3,0.004267435157181814
60,4591,2M00003088+6311475,MV,3,0.004126910632429365
61,4120,2M00003118+7056365,MV,3,0.004058899120325286
62,4548,2M00003119+1516179,MV,3,0.004347740263420461
63,4548,2M00003151+1556005,MV,3,0.005271948645814665
64,4120,2M00003157+7059085,MV,3,0.004670001901200359
65,4548,2M00003240+1707161,MV,3,0.006186739579056152
66,5046,2M00003303+7458357,MV,3,0.004111415648670486
67,4548,2M00003349+1640086,MV,3,0.032526445651514704
68,5047,2M00003379+7940362,MV,3,0.8726166797825197
69,5046,2M00003414+7539100,MV,3,0.0039989052247073045
70,4424,2M00003418+5855095,MV,3,0.0046835617741755615
71,5045,2M00003453+6137329,MV,3,0.0040601538522678044
72,4548,2M00003456+1538435,MV,3,0.004026331583856135
73,4264,2M00003475+5723259,MV,3,0.006884808163145999
74,4424,2M00003498+5800176,MV,3,0.003971756676698164
75,5045,2M00003503+6120437,MV,3,0.012626043655720016
76,5045,2M00003567+6204254,MV,3,0.02703830181324061
77,5045,2M00003628+6250352,MV,3,0.11447789469932301
78,5047,2M00003649+7948407,MV,3,0.010115222826302315
79,5046,2M00003967+7325196,MV,3,0.004082937982794421
80,4264,2M00003968+5722329,MV,3,0.8458685327504655
81,5045,2M00003987+6236456,MV,3,0.9274555620793414
82,5046,2M00004031+7457263,MV,3,0.00406042720460808
83,4264,2M00004072+5714404,MV,3,0.004495832738113665
84,4591,2M00004159+6505249,MV,3,0.012848819549194992
85,4548,2M00004238+1558279,MV,3,0.005631171288324252
86,4424,2M00004297+5739255,MV,3,0.0043408049399949866
87,5045,2M00004407+6151569,MV,3,0.006496896941622276
88,5046,2M00004449+7504072,MV,3,0.004049661766287479
89,5046,2M00004523+7520409,MV,3,0.004216156636627658
90,4264,2M00004578+5654428,MV,3,0.17784638564874816
91,4548,2M00004623+1528052,MV,3,0.003874213417099842
92,4264,2M00004632+5634057,MV,3,0.006153390827900912
93,4591,2M00004653+6422138,MV,3,0.004030258114419018
94,4120,2M00004725+7117024,MV,3,0.12701707463955147
95,5046,2M00004763+7601194,MV,3,0.0044380567639336795
96,5067,2M00004849+8521299,MV,3,0.00484768275489441
97,4264,2M00004872+5647031,MV,3,0.004256214342951222
98,4424,2M00004987+5908475,MV,3,0.003878388970152775
99,4548,2M00004994+1621552,MV,3,0.005089840110425119
100,4120,2M00005041+7032121,MV,3,0.003997232096234523
101,4548,2M00005048+1617251,MV,3,0.0720516802172188
102,5046,2M00005050+7414013,MV,3,0.005298475007422805
103,4548,2M00005056+1628421,MV,3,0.005546059960648907
104,4120,2M00005083+7107484,MV,3,0.0038987635426103134
105,4264,2M00005143+5615568,MV,3,0.004319062655371883
106,4590,2M00005206+0047268,MV,3,0.10788279121711553
107,4264,2M00005243+5708135,MV,3,0.020526441370531102
108,4591,2M00005289+6332038,MV,3,0.004121982056463779
109,4120,2M00005339+7047133,MV,3,0.004511557010892267
110,4264,2M00005407+5600006,MV,3,0.0037116611812542093
111,4264,2M00005414+5522241,MV,3,0.02828041668621628
112,4264,2M00005469+5654086,MV,3,0.0040240447728116776
113,4548,2M00005481+1623446,MV,3,0.27400093478072224
114,4264,2M00005544+5724169,MV,3,0.0037610790234047092
115,5045,2M00005591+6305051,MV,3,0.02284309958927089
116,4120,2M00005624+7002428,MV,3,0.011659652905715212
117,4120,2M00005636+6959096,MV,3,0.006599283822539314
118,4264,2M00005641+5650080,MV,3,0.003995992856887647
119,4590,2M00005661+0024267,MV,3,0.6237921712326893
120,4548,2M00005666+1647445,MV,3,0.00430541213027505
121,4591,2M00005690+6402130,MV,3,0.0038361840883883846
122,4120,2M00005728+6958488,MV,3,0.00780409914339786
123,4590,2M00005758+0108568,MV,3,0.7707400346446032
124,4264,2M00005841+5712287,MV,3,0.004069979063669996
125,4590,2M00005845+0055046,MV,3,0.018971280379219548
126,5045,2M00005934+6105357,MV,3,0.004756237613352508
127,4264,2M00005977+5717509,MV,3,0.0038758846724484776
